City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ciudad lazaro cardenas,17.9583,-102.2,87.75,47,93,2.77,MX,1701884416
1,playa del carmen,20.6274,-87.0799,84.88,72,75,16.11,MX,1701884416
2,norcasia,5.5778,-74.8852,86.88,54,100,3.0,CO,1701884416
3,grytviken,-54.2811,-36.5092,32.99,79,87,22.21,GS,1701884416
4,qaqortoq,60.7167,-46.0333,39.34,55,100,19.64,GL,1701884416
5,port-aux-francais,-49.35,70.2167,41.25,83,100,20.65,TF,1701884417
6,chonchi,-42.6128,-73.8092,63.61,52,37,2.06,CL,1701884417
7,pingliang,35.5392,106.6861,39.99,33,0,7.4,CN,1701884417
8,adamstown,-25.066,-130.1015,72.84,80,100,13.71,PN,1701884417
9,port-gentil,-0.7193,8.7815,81.21,77,96,11.03,GA,1701884417
10,pangkalanbuun,-2.6833,111.6167,75.56,98,93,2.28,ID,1701884417
11,jamestown,42.097,-79.2353,33.53,84,100,8.01,US,1701884132
12,waitangi,-43.9535,-176.5597,55.81,96,100,5.01,NZ,1701884418
13,nonsan,36.2039,127.0847,39.16,64,25,9.84,KR,1701884418
14,teteven,42.9167,24.2667,39.33,97,100,0.51,BG,1701884418
15,albany,42.6001,-73.9662,33.64,85,99,5.41,US,1701884245
16,ust-nera,64.5667,143.2,-50.8,92,33,1.48,RU,1701884419
17,west island,-12.1568,96.8225,80.58,83,75,10.36,CC,1701884419
18,altinopolis,-21.0256,-47.3739,88.95,39,89,2.39,BR,1701884419
19,edinburgh of the seven seas,-37.0676,-12.3116,57.83,75,12,18.45,SH,1701884419
20,alenquer,-1.9417,-54.7383,96.12,37,24,5.75,BR,1701884420
21,black forest,39.0131,-104.7008,62.71,15,0,9.22,US,1701884420
22,college,64.8569,-147.8028,7.12,85,100,0.0,US,1701884420
23,portland,45.5234,-122.6762,52.92,94,100,6.91,US,1701883927
24,puerto ayora,-0.7393,-90.3518,84.16,88,69,5.01,EC,1701884420
25,cidreira,-30.1811,-50.2056,77.22,84,97,11.63,BR,1701884421
26,thompson,55.7435,-97.8558,24.96,100,100,6.91,CA,1701884421
27,ushuaia,-54.8,-68.3,51.46,58,40,33.38,AR,1701884421
28,arraial do cabo,-22.9661,-42.0278,89.56,61,0,31.07,BR,1701884421
29,yellowknife,62.456,-114.3525,18.12,100,100,5.75,CA,1701884313
30,saipan,15.1355,145.701,81.3,83,20,10.36,MP,1701884422
31,andirin,37.5776,36.3549,46.33,93,100,2.04,TR,1701884422
32,keflavik,64.0049,-22.5624,34.23,64,0,23.02,IS,1701884422
33,kodiak,57.79,-152.4072,29.71,43,0,27.63,US,1701884423
34,vadso,70.0744,29.7487,14.16,85,100,8.05,NO,1701884423
35,umm kaddadah,13.6017,26.6876,72.01,10,37,13.98,SD,1701884423
36,wenling,28.3669,121.36,53.2,71,6,4.07,CN,1701884424
37,bafq,31.6128,55.4107,57.45,15,70,2.37,IR,1701884424
38,swift current,50.2834,-107.8014,43.61,87,0,5.75,CA,1701884424
39,vila velha,-20.3297,-40.2925,87.75,71,20,17.27,BR,1701884424
40,ancud,-41.8697,-73.8203,58.37,72,20,9.46,CL,1701884425
41,isafjordur,66.0755,-23.124,24.84,74,0,3.44,IS,1701884425
42,touros,-5.1989,-35.4608,84.67,64,2,14.0,BR,1701884425
43,jackson,42.4165,-122.8345,50.95,98,100,3.44,US,1701883969
44,ilulissat,69.2167,-51.1,23.02,58,75,5.75,GL,1701884426
45,invercargill,-46.4,168.35,49.68,85,70,18.34,NZ,1701884426
46,azovo,54.6997,73.0237,-9.65,93,100,12.57,RU,1701884427
47,namsos,64.4662,11.4957,28.45,80,75,10.36,NO,1701884403
48,hermanus,-34.4187,19.2345,68.11,71,0,12.93,ZA,1701884428
49,ariquemes,-9.9133,-63.0408,90.95,51,87,5.82,BR,1701884428
50,hithadhoo,-0.6,73.0833,82.47,79,59,12.19,MV,1701884428
51,hilo,19.7297,-155.09,74.28,96,100,5.75,US,1701884428
52,lebu,-37.6167,-73.65,61.63,74,2,13.29,CL,1701884429
53,broken hill,-31.95,141.4333,82.69,29,88,17.43,AU,1701884429
54,ribeira grande,38.5167,-28.7,68.4,88,75,27.63,PT,1701884430
55,margaret river,-33.95,115.0667,56.91,83,28,10.09,AU,1701884430
56,meadow lake,34.8014,-106.5436,57.4,37,3,3.49,US,1701884430
57,badger,64.8,-147.5333,7.05,87,100,0.0,US,1701884430
58,tura,25.5198,90.2201,67.89,73,98,1.95,IN,1701884431
59,blackmans bay,-43.0167,147.3167,50.13,77,33,1.99,AU,1701884431
60,papatowai,-46.5619,169.4708,50.88,76,57,19.95,NZ,1701884432
61,tazovsky,67.4667,78.7,-28.98,99,37,7.7,RU,1701884432
62,olonkinbyen,70.9221,-8.7187,25.5,83,100,10.65,SJ,1701884432
63,weno,7.4515,151.8468,78.75,100,75,3.44,FM,1701884433
64,lae,-6.7221,146.9847,76.41,84,89,5.46,PG,1701884433
65,bredasdorp,-34.5322,20.0403,64.47,84,1,18.01,ZA,1701884433
66,kapuskasing,49.4169,-82.4331,19.49,79,100,11.5,CA,1701884434
67,fismes,49.3077,3.6861,39.43,88,53,2.01,FR,1701884434
68,bilibino,68.0546,166.4372,-23.87,99,100,4.09,RU,1701884434
69,kruisfontein,-34.0033,24.7314,67.89,83,91,16.8,ZA,1701884434
70,cabo san lucas,22.8909,-109.9124,86.31,52,40,1.99,MX,1701884435
71,port elizabeth,-33.918,25.5701,70.11,82,75,21.85,ZA,1701884435
72,iskateley,67.6803,53.1512,-6.99,98,100,4.0,RU,1701884435
73,spring creek,40.7266,-115.5859,41.31,42,90,2.46,US,1701884435
74,bethel,41.3712,-73.414,41.02,72,100,6.91,US,1701884435
75,petropavlovsk-kamchatsky,53.0452,158.6483,15.46,69,0,15.01,RU,1701884435
76,grand-lahou,5.1367,-5.0242,81.57,77,5,9.1,CI,1701884436
77,mhamid,29.82,-5.72,67.96,27,100,5.06,MA,1701884436
78,iqaluit,63.7506,-68.5145,8.33,85,20,5.75,CA,1701884436
79,atafu village,-8.5421,-172.5159,84.07,76,60,8.75,TK,1701884436
80,kapa'a,22.0752,-159.319,75.52,82,75,16.11,US,1701884436
81,longyearbyen,78.2186,15.6401,24.64,74,40,21.85,SJ,1701884436
82,aykhal,66.0,111.5,-13.88,98,100,5.3,RU,1701884437
83,la passe,45.5549,-0.8967,43.99,84,73,8.14,FR,1701884437
84,felipe carrillo puerto,19.5833,-88.05,84.07,55,69,7.0,MX,1701884437
85,hamilton,39.1834,-84.5333,43.72,70,100,8.05,US,1701884322
86,maxcanu,20.5833,-89.9833,82.63,52,99,9.22,MX,1701884437
87,nicoya,10.1483,-85.452,85.77,63,12,13.24,CR,1701884438
88,mansa,29.9833,75.3833,60.93,29,0,5.93,IN,1701884438
89,east london,-33.0153,27.9116,65.34,88,100,12.66,ZA,1701884438
90,codrington,-38.2667,141.9667,49.41,85,100,3.33,AU,1701884438
91,dubrovnik,42.6481,18.0922,51.44,93,20,6.91,HR,1701884438
92,georgetown,5.4112,100.3354,82.33,92,20,3.44,MY,1701884438
93,puerto natales,-51.7236,-72.4875,55.85,44,20,18.41,CL,1701884438
94,san antonio de pale,-1.4014,5.6325,80.11,81,90,10.63,GQ,1701884439
95,dzuunharaa,48.8523,106.4579,14.67,84,91,4.65,MN,1701884439
96,tay ninh,11.3,106.1,76.01,93,98,2.77,VN,1701884439
97,jijiang,29.2906,106.2542,55.53,78,9,3.24,CN,1701884439
98,minas de marcona,-15.2119,-75.1103,69.24,55,100,17.72,PE,1701884439
99,santa lucia,27.9117,-15.5407,65.52,78,75,11.5,ES,1701884439
100,aswan,24.0934,32.907,76.3,23,0,4.61,EG,1701884440
101,udachny,66.4167,112.4,-12.24,98,100,3.51,RU,1701884440
102,yatagan,37.3403,28.1428,50.92,91,77,4.43,TR,1701884440
103,port mathurin,-19.6833,63.4167,78.67,79,4,10.27,MU,1701884440
104,koz'modem'yansk,56.3367,46.5711,-6.3,100,95,1.83,RU,1701884440
105,bokkos,9.3,9.0,69.73,25,26,6.15,NG,1701884441
106,haiku-pauwela,20.9219,-156.3051,78.51,83,20,16.11,US,1701884441
107,maun,-19.9833,23.4167,89.56,33,0,4.61,BW,1701884441
108,enewetak,11.3474,162.3373,81.7,70,75,21.32,MH,1701884441
109,hadibu,12.65,54.0333,77.47,65,36,14.03,YE,1701884441
110,afaahiti,-17.75,-149.2833,73.27,83,100,17.31,PF,1701884441
111,pauini,-7.7136,-66.9764,74.3,97,100,2.26,BR,1701884441
112,akjoujt,19.6969,-14.4164,82.15,17,98,4.65,MR,1701884442
113,itoman,26.1247,127.6694,68.02,66,75,18.41,JP,1701884442
114,brookings,44.3114,-96.7984,47.08,64,0,10.36,US,1701884442
115,san pedro pochutla,15.7333,-96.4667,89.31,53,42,6.89,MX,1701884350
116,selkirk,50.1436,-96.8845,40.06,80,100,4.0,CA,1701884442
117,martapura,-3.4167,114.85,80.69,94,20,2.3,ID,1701884442
118,katsuura,35.1333,140.3,58.21,68,87,13.76,JP,1701884442
119,mount pearl,47.5166,-52.7813,28.15,81,75,13.8,CA,1701884443
120,kodinsk,58.6881,99.1844,-25.56,92,35,6.51,RU,1701884443
121,howrah,22.5892,88.3103,68.0,88,75,13.8,IN,1701884443
122,crane,31.3974,-102.3501,63.91,45,65,13.53,US,1701884443
123,okha,53.5739,142.9478,26.76,97,100,6.89,RU,1701884443
124,siwa oasis,29.2041,25.5195,62.82,52,11,6.13,EG,1701884444
125,tsiombe,-25.3,45.4833,74.17,72,30,12.82,MG,1701884444
126,lazaro cardenas,17.9583,-102.2,87.26,48,99,3.85,MX,1701884444
127,swakopmund,-22.6833,14.5333,67.05,79,88,5.01,NA,1701884444
128,vuktyl,63.8567,57.3094,-29.88,100,26,1.01,RU,1701884444
129,vilyuchinsk,52.9306,158.4028,16.93,81,72,6.64,RU,1701884444
130,pacific grove,36.6177,-121.9166,56.66,94,100,11.01,US,1701884234
131,battagram,34.6772,73.0233,50.7,31,0,6.13,PK,1701884445
132,rudsar,37.1376,50.288,58.98,84,100,10.63,IR,1701884445
133,gislaved,57.3044,13.5408,29.59,83,100,1.99,SE,1701884445
134,sambava,-14.2667,50.1667,74.43,84,44,1.61,MG,1701884445
135,maymana,35.9214,64.7836,48.83,39,1,1.86,AF,1701884445
136,turaiyur,11.1667,78.6167,79.86,88,81,2.51,IN,1701884445
137,tororo,0.693,34.1809,67.12,82,35,6.17,UG,1701884445
138,st. john's,47.5649,-52.7093,28.98,81,75,13.8,CA,1701884446
139,sisimiut,66.9395,-53.6735,17.92,72,100,6.78,GL,1701884446
140,djougou,9.7085,1.666,85.48,18,25,4.29,BJ,1701884446
141,tsumeb,-19.2333,17.7167,75.4,58,99,11.03,NA,1701884446
142,sarandi,-23.4436,-51.8739,83.75,70,75,11.5,BR,1701884446
143,tagta,41.6504,59.9164,31.95,80,0,9.22,TM,1701884446
144,susuman,62.7833,148.1667,-57.01,99,70,1.01,RU,1701884446
145,ialibu,-6.2821,143.9935,54.37,98,73,2.91,PG,1701884446
146,buta,2.7858,24.73,71.58,98,82,2.26,CD,1701884447
147,ugoofaaru,5.6667,73.0,82.44,76,100,6.11,MV,1701884447
148,bac kan,22.1333,105.8333,59.95,82,100,2.15,VN,1701884447
149,punta arenas,-53.15,-70.9167,53.71,58,20,31.07,CL,1701884447
150,shingu,33.7333,135.9833,52.38,85,89,7.54,JP,1701884447
151,anadyr,64.75,177.4833,-5.01,83,100,29.08,RU,1701884447
152,douglas,41.3,-96.167,49.66,59,0,26.46,US,1701884447
153,ebon,4.582,168.6964,82.76,81,100,20.69,MH,1701884448
154,taro,-8.3862,115.28,73.4,94,99,0.74,ID,1701884448
155,hawaiian paradise park,19.5933,-154.9731,71.04,97,100,5.75,US,1701884448
156,wynyard,-41.0,145.7167,49.91,87,35,6.49,AU,1701884448
157,lethem,3.3803,-59.7968,90.81,47,64,7.7,GY,1701884448
158,smithers,54.7804,-127.1743,28.72,93,40,4.61,CA,1701884448
159,belmonte,-15.8631,-38.8828,85.78,57,11,7.81,BR,1701884448
160,kangdong-up,39.1425,126.0961,29.84,57,18,1.9,KP,1701884449
161,hasaki,35.7333,140.8333,41.4,64,96,12.66,JP,1701884449
162,urucara,-2.5364,-57.76,97.11,35,21,5.97,BR,1701884449
163,vorgashor,67.5833,63.95,-21.68,97,56,3.85,RU,1701884449
164,tindouf,27.6711,-8.1474,73.85,38,40,25.32,DZ,1701884449
165,aguililla,18.7333,-102.7333,78.37,48,65,3.62,MX,1701884449
166,batesville,35.7698,-91.641,46.94,57,0,1.01,US,1701884449
167,nova sintra,14.8667,-24.7167,71.04,73,96,15.1,CV,1701884449
168,laibin,23.7,109.2667,59.43,60,59,3.94,CN,1701884450
169,villamontes,-21.25,-63.5,76.44,78,100,0.0,BO,1701884450
170,sola,-13.8833,167.55,80.19,81,99,17.11,VU,1701884450
171,corner brook,48.9667,-57.9484,24.96,82,100,8.88,CA,1701884450
172,bokoro,12.3807,17.0568,84.29,14,12,9.89,TD,1701884450
173,kuta,-8.7233,115.1723,80.55,88,75,5.01,ID,1701884450
174,indre arna,60.4247,5.4764,35.82,70,100,6.46,NO,1701884450
175,timbuktu,16.7735,-3.0074,79.41,12,2,4.21,ML,1701884450
176,port alfred,-33.5906,26.891,64.18,91,90,5.01,ZA,1701884451
177,anajatuba,-3.2644,-44.6197,89.02,55,79,3.51,BR,1701884451
178,kone,-21.0595,164.8658,74.57,72,100,2.93,NC,1701884451
179,batamshinskiy,50.5594,58.2747,10.08,95,90,9.62,KZ,1701884451
180,puning,23.3107,116.1687,57.16,65,73,5.08,CN,1701884451
181,bathurst,-33.4166,149.5806,65.82,82,56,1.99,AU,1701884451
182,agadez,19.75,10.25,68.59,21,0,4.99,NE,1701884451
183,teknaf,20.8624,92.3058,76.14,80,100,6.02,BD,1701884451
184,tiksi,71.6872,128.8694,-11.02,96,100,10.09,RU,1701884452
185,ar rumaythah,31.5263,45.2025,68.67,24,33,8.68,IQ,1701884452
186,wailua homesteads,22.0669,-159.378,74.19,81,75,16.11,US,1701884452
187,arno,60.1167,18.6333,27.79,94,69,3.53,SE,1701884452
188,kittila,67.6647,24.8936,6.94,85,20,6.91,FI,1701884452
189,yuzhno-kurilsk,44.0306,145.8556,45.37,84,42,10.87,RU,1701884452
190,wuwei,37.9281,102.6414,38.43,20,0,4.38,CN,1701884452
191,carnarvon,-24.8667,113.6333,73.06,76,4,22.64,AU,1701884452
192,tabira,-7.5908,-37.5394,96.22,20,1,7.99,BR,1701884452
193,jatibarang,-6.4747,108.3153,80.51,81,69,4.29,ID,1701884453
194,lorengau,-2.0226,147.2712,82.04,82,91,11.23,PG,1701884453
195,erenhot,43.6475,111.9767,25.95,59,97,9.95,CN,1701884453
196,arteche,12.2645,125.4048,77.67,79,91,5.41,PH,1701884453
197,el hadjira,32.6134,5.5126,62.24,33,35,10.4,DZ,1701884453
198,salinopolis,-0.6136,-47.3561,82.38,78,37,18.45,BR,1701884222
199,sitangkai,4.6628,119.3928,82.4,82,100,13.53,PH,1701884453
200,tamandare,-8.7597,-35.1047,83.37,62,0,8.05,BR,1701884453
201,cumaral,4.2708,-73.4867,88.84,57,72,7.56,CO,1701884453
202,charlottetown,46.2352,-63.1267,28.2,78,20,6.91,CA,1701884454
203,klaksvik,62.2266,-6.589,38.32,68,85,24.29,FO,1701884454
204,colonia,50.9333,6.95,40.96,86,75,8.05,DE,1701884454
205,maralal,1.0968,36.698,65.12,59,41,9.1,KE,1701884454
206,gazojak,41.1875,61.4036,38.61,46,100,14.5,TM,1701884454
207,bubaque,11.2833,-15.8333,83.34,57,3,12.28,GW,1701884454
208,laojunmiao,39.8333,97.7333,34.97,22,32,7.14,CN,1701884454
209,kangding,30.0513,101.9603,38.71,40,22,4.59,CN,1701884454
210,wellington,-41.2866,174.7756,59.05,84,1,17.27,NZ,1701884368
211,port lincoln,-34.7333,135.8667,61.52,75,100,10.67,AU,1701884388
212,manokwari,-0.8667,134.0833,77.04,87,87,8.68,ID,1701884455
213,fortuna,40.5982,-124.1573,55.92,96,40,21.85,US,1701884455
214,lihue,21.9789,-159.3672,74.79,74,75,16.11,US,1701884455
215,cam ranh,11.9214,109.1591,78.76,83,40,10.36,VN,1701884455
216,talnakh,69.4865,88.3972,-21.8,94,100,7.56,RU,1701884455
217,vila franca do campo,37.7167,-25.4333,68.41,99,99,17.9,PT,1701884455
218,yuxia,34.0615,108.6291,43.41,33,0,7.36,CN,1701884455
219,queenstown,-31.8976,26.8753,55.33,92,100,5.12,ZA,1701884456
220,pangody,65.85,74.4859,-35.18,98,7,7.31,RU,1701884456
221,saint-francois,46.4154,3.9054,38.64,94,20,2.3,FR,1701884456
222,kiunga,-6.1219,141.2906,73.11,99,78,1.57,PG,1701884456
223,madaoua,14.073,5.96,78.6,12,11,8.59,NE,1701884456
224,severo-yeniseyskiy,60.3725,93.0408,-42.43,100,62,4.0,RU,1701884456
225,manda,-10.4667,34.5833,79.18,79,97,8.72,TZ,1701884456
226,yuanping,38.7153,112.7575,31.75,39,0,1.7,CN,1701884456
227,selfoss,63.9331,-20.9971,26.2,57,32,11.23,IS,1701884456
228,halifax,44.6453,-63.5724,33.49,65,75,8.05,CA,1701884405
229,chatham,51.3789,0.5279,40.21,74,84,1.01,GB,1701884457
230,callao,-12.0667,-77.15,71.89,73,75,8.05,PE,1701884457
231,uturoa,-16.7333,-151.4333,78.17,85,100,19.64,PF,1701884457
232,likiep,9.8251,169.3107,81.68,77,86,19.93,MH,1701884457
233,whangarei,-35.7317,174.3239,57.16,92,55,5.93,NZ,1701884457
234,aden,12.7794,45.0367,79.48,62,23,9.33,YE,1701884457
235,bodaybo,57.8506,114.1933,-39.26,100,97,1.07,RU,1701884457
236,barlinek,52.9946,15.2186,28.08,96,100,9.8,PL,1701884457
237,kongwa,-6.2,36.4167,74.08,77,92,4.09,TZ,1701884458
238,copala,16.65,-98.9833,90.5,46,100,4.14,MX,1701884458
239,candido mendes,-1.4467,-45.7167,83.21,79,38,7.9,BR,1701884458
240,devonport,-41.1667,146.35,52.52,74,33,18.45,AU,1701884458
241,xinqing,48.2333,129.5,4.71,90,38,7.36,CN,1701884458
242,aasiaat,68.7098,-52.8699,19.47,66,93,22.84,GL,1701884458
243,pathein,16.7833,94.7333,77.99,80,71,3.38,MM,1701884458
244,shitanjing,39.2342,106.3439,41.49,21,1,14.63,CN,1701884458
245,salekhard,66.53,66.6019,-25.92,100,81,2.04,RU,1701884458
246,tutoia,-2.7619,-42.2744,85.68,67,74,16.11,BR,1701884459
247,kristiansund,63.1115,7.732,30.85,69,75,5.75,NO,1701884459
248,khouribga,32.9333,-6.6,56.41,73,63,6.06,MA,1701884459
249,lospalos,-8.5186,127.0025,74.97,92,100,2.39,TL,1701884459
250,zheshart,62.0731,49.5733,-16.64,98,13,1.39,RU,1701884459
251,farah,32.5,62.5,49.86,19,0,2.13,AF,1701884459
252,bamboo flat,11.7,92.7167,77.09,100,100,2.3,IN,1701884459
253,whitehorse,60.7161,-135.0538,30.97,86,75,17.27,CA,1701884459
254,hwange,-18.3693,26.5019,86.92,22,1,3.58,ZW,1701884460
255,daru,-9.0763,143.2092,75.36,94,86,2.66,PG,1701884460
256,quellon,-43.1167,-73.6167,59.7,65,52,13.13,CL,1701884460
257,laguna,38.421,-121.4238,59.54,85,0,11.5,US,1701884460
258,grosseto,42.8333,11.25,46.09,87,40,5.75,IT,1701884460
259,rongelap,11.1635,166.8941,81.91,75,63,21.43,MH,1701884460
260,chester,40.1254,-75.8749,39.83,82,100,8.05,US,1701884460
261,kairouan,35.6781,10.0963,59.02,63,75,2.3,TN,1701884460
262,zhalantun,48.0,122.7167,5.41,66,57,15.66,CN,1701884461
263,luau,-10.7073,22.2247,68.16,86,76,2.59,AO,1701884461
264,constantia,44.1833,28.65,43.48,78,100,16.24,RO,1701884461
265,auki,-8.7676,160.7034,80.71,79,100,16.55,SB,1701884461
266,leava,-14.3,-178.1667,83.23,66,71,11.5,WF,1701884461
267,muroran,42.3172,140.9881,48.7,90,100,13.15,JP,1701884461
268,boca do acre,-8.7522,-67.3978,76.96,93,100,3.06,BR,1701884461
269,warragul,-38.1667,145.9333,57.04,83,88,1.43,AU,1701884462
270,boma,7.0805,-2.1697,80.1,47,6,1.59,GH,1701884462
271,omuo-ekiti,7.7583,5.7223,82.13,35,59,2.17,NG,1701884462
272,nguigmi,14.2495,13.1092,77.79,19,3,11.97,NE,1701884462
273,faya-largeau,17.9257,19.1043,73.9,20,17,12.19,TD,1701884462
274,alofi,-19.0595,-169.9187,75.09,94,99,5.75,NU,1701884462
275,shalya,57.2471,58.7298,-23.53,99,19,1.72,RU,1701884462
276,datong,40.0936,113.2914,30.67,45,7,7.87,CN,1701884462
277,kita,13.0349,-9.4895,87.66,14,31,3.8,ML,1701884462
278,saudarkrokur,65.7461,-19.6394,21.07,57,5,6.64,IS,1701884463
279,damara,4.9608,18.7035,79.38,74,91,4.56,CF,1701884463
280,providence,41.824,-71.4128,37.58,76,75,11.5,US,1701884398
281,kukuna,9.4,-12.6667,85.84,43,0,3.6,SL,1701884463
282,newman,37.3138,-121.0208,59.25,40,30,1.21,US,1701884463
283,vilyuysk,63.7553,121.6247,-45.99,100,88,3.0,RU,1701884463
284,avarua,-21.2078,-159.775,77.05,83,40,13.8,CK,1701884463
285,rahimah,26.7079,50.0619,66.42,59,42,3.11,SA,1701884463
286,kununurra,-15.7667,128.7333,78.78,78,40,9.22,AU,1701884463
287,zyrya,40.3661,50.2917,51.89,80,100,12.86,AZ,1701884464
288,guarapari,-20.6667,-40.4975,84.88,71,0,18.63,BR,1701884355
289,las heras,-46.5419,-68.9359,74.79,25,0,9.33,AR,1701884464
290,kolokani,13.5728,-8.0339,85.3,12,21,6.24,ML,1701884464
291,gadzhiyevo,69.2551,33.3362,10.98,92,100,9.71,RU,1701884464
292,namtsy,62.7161,129.6658,-57.73,99,74,2.1,RU,1701884464
293,craiova,44.3167,23.8,42.12,95,100,5.01,RO,1701884464
294,usogorsk,63.4106,48.6872,-15.34,99,20,0.36,RU,1701884464
295,klyuchi,52.2667,79.1667,10.83,71,100,22.17,RU,1701884465
296,zhanibek,49.4167,46.85,24.87,82,83,8.9,KZ,1701884465
297,pimentel,-6.8367,-79.9342,79.09,57,0,14.97,PE,1701884465
